CellLine	Status
CHP134	Amplified
CHP212	Amplified
COGN415	Amplified
COGN440	Amplified
COGN453	Amplified
COGN471	Amplified
COGN496	Amplified
COGN519	Amplified
COGN534	Nonamplified
COGN549	Nonamplified
COGN557	Amplified
COGN561	Amplified
COGN573	Amplified
FELIX	Nonamplified
HU.FETAL.BRAIN	Nonamplified
IMR32	Amplified
IMR5	Amplified
KELLY	Amplified
LAN5	Amplified
LAN6	Nonamplified
NB1	Amplified
NB16	Nonamplified
NB1643	Amplified
NB1691	Amplified
NB69	Nonamplified
NBEBC1	Nonamplified
NBLS	Nonamplified
NBSD	Amplified
NGP	Amplified
NLF	Amplified
NMB	Amplified
RPE1	Nonamplified
SHSY5Y	Nonamplified
SKNAS	Nonamplified
SKNBE2	Amplified
SKNBE2C	Amplified
SKNDZ	Amplified
SKNFI	Nonamplified
SKNSH	Nonamplified
SMSKAN	Amplified
SMSSAN	Amplified
